,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,city_id
0,1,2017,Hyderabad,2017-04-05,1,2,2,field,normal,0,1,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong,,1
1,2,2017,Pune,2017-04-06,7,12,12,field,normal,0,12,0,7,SPD Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi,,2
2,3,2017,Rajkot,2017-04-07,13,8,8,field,normal,0,8,0,10,CA Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,CK Nandan,,3
3,4,2017,Indore,2017-04-08,12,4,4,field,normal,0,4,0,6,GJ Maxwell,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,,4
4,5,2017,Bangalore,2017-04-08,2,6,2,bat,normal,0,2,15,0,KM Jadhav,M Chinnaswamy Stadium,11,,,5
5,6,2017,Hyderabad,2017-04-09,13,1,1,field,normal,0,1,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,NJ Llong,,1
6,7,2017,Mumbai,2017-04-09,8,7,7,field,normal,0,7,0,4,N Rana,Wankhede Stadium,Nitin Menon,CK Nandan,,6
7,8,2017,Indore,2017-04-10,2,4,2,bat,normal,0,4,0,8,AR Patel,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,,4
8,9,2017,Pune,2017-04-11,6,12,12,field,normal,0,6,97,0,SV Samson,Maharashtra Cricket Association Stadium,AY Dandekar,S Ravi,,2
9,10,2017,Mumbai,2017-04-12,1,7,7,field,normal,0,7,0,4,JJ Bumrah,Wankhede Stadium,Nitin Menon,CK Nandan,,6
10,11,2017,Kolkata,2017-04-13,4,8,8,field,normal,0,8,0,8,SP Narine,Eden Gardens,A Deshmukh,NJ Llong,,12
11,12,2017,Bangalore,2017-04-14,2,7,7,field,normal,0,7,0,4,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,AK Chaudhary,,5
12,13,2017,Rajkot,2017-04-14,12,13,13,field,normal,0,13,0,7,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi,,3
13,14,2017,Kolkata,2017-04-15,8,1,1,field,normal,0,8,17,0,RV Uthappa,Eden Gardens,AY Dandekar,NJ Llong,,12
14,15,2017,Delhi,2017-04-15,6,4,6,bat,normal,0,6,51,0,CJ Anderson,Feroz Shah Kotla,YC Barde,Nitin Menon,,7
15,16,2017,Mumbai,2017-04-16,13,7,7,field,normal,0,7,0,6,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi,,6
16,17,2017,Bangalore,2017-04-16,12,2,2,field,normal,0,12,27,0,BA Stokes,M Chinnaswamy Stadium,KN Ananthapadmanabhan,C Shamshuddin,,5
17,18,2017,Delhi,2017-04-17,6,8,6,bat,normal,0,8,0,4,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon,CK Nandan,,7
18,19,2017,Hyderabad,2017-04-17,1,4,4,field,normal,0,1,5,0,B Kumar,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,A Deshmukh,,1
19,20,2017,Rajkot,2017-04-18,2,13,13,field,normal,0,2,21,0,CH Gayle,Saurashtra Cricket Association Stadium,S Ravi,VK Sharma,,3
20,21,2017,Hyderabad,2017-04-19,1,6,1,bat,normal,0,1,15,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,NJ Llong,,1
21,22,2017,Indore,2017-04-20,4,7,7,field,normal,0,7,0,8,JC Buttler,Holkar Cricket Stadium,M Erasmus,C Shamshuddin,,4
22,23,2017,Kolkata,2017-04-21,8,13,13,field,normal,0,13,0,4,SK Raina,Eden Gardens,CB Gaffaney,Nitin Menon,,12
23,24,2017,Mumbai,2017-04-22,7,6,6,field,normal,0,7,14,0,MJ McClenaghan,Wankhede Stadium,A Nand Kishore,S Ravi,,6
24,25,2017,Pune,2017-04-22,1,12,12,field,normal,0,12,0,6,MS Dhoni,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh,,2
25,26,2017,Rajkot,2017-04-23,4,13,13,field,normal,0,4,26,0,HM Amla,Saurashtra Cricket Association Stadium,AK Chaudhary,M Erasmus,,3
26,27,2017,Kolkata,2017-04-23,8,2,2,field,normal,0,8,82,0,NM Coulter-Nile,Eden Gardens,CB Gaffaney,CK Nandan,,12
27,28,2017,Mumbai,2017-04-24,12,7,7,field,normal,0,12,3,0,BA Stokes,Wankhede Stadium,A Nand Kishore,S Ravi,,6
28,29,2017,Pune,2017-04-26,12,8,8,field,normal,0,8,0,7,RV Uthappa,Maharashtra Cricket Association Stadium,AY Dandekar,NJ Llong,,2
29,30,2017,Bangalore,2017-04-27,2,13,13,field,normal,0,13,0,7,AJ Tye,M Chinnaswamy Stadium,AK Chaudhary,C Shamshuddin,,5
30,31,2017,Kolkata,2017-04-28,6,8,8,field,normal,0,8,0,7,G Gambhir,Eden Gardens,NJ Llong,S Ravi,,12
31,32,2017,Chandigarh,2017-04-28,1,4,4,field,normal,0,1,26,0,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,CK Nandan,,13
