Format:
predicted score, actual score, match id (cricinfo), features

Features Format:
current score, current wickets, current run rate, balls left, run rate in last 30 balls, wickets in last 30 balls, score in last 30 balls,countryId,teamplayingId,teamagainstId,groundid,daynight

168.101880902 168 1001349 [49L, 0L, 1.225, 80, 1.45, 0L, 29L, 1, 1, 13, 1, 1]
173.266944108 168 1001349 [74L, 0L, 1.233, 60, 1.25, 0L, 25L, 1, 1, 13, 1, 1]
161.058854069 168 1001349 [93L, 2L, 1.163, 40, 0.95, 2L, 19L, 1, 1, 13, 1, 1]
178.610044988 168 1001349 [131L, 3L, 1.31, 20, 1.9, 1L, 38L, 1, 1, 13, 1, 1]
183.930047061 173 1001351 [62L, 1L, 1.55, 80, 2.15, 0L, 43L, 1, 1, 13, 2, 1]
167.624531696 173 1001351 [77L, 2L, 1.283, 60, 0.75, 1L, 15L, 1, 1, 13, 2, 1]
184.66164082 173 1001351 [111L, 2L, 1.387, 40, 1.7, 0L, 34L, 1, 1, 13, 2, 1]
171.984219351 173 1001351 [135L, 5L, 1.35, 20, 1.2, 3L, 24L, 1, 1, 13, 2, 1]
189.021426821 187 1001353 [63L, 0L, 1.575, 80, 1.85, 0L, 37L, 1, 1, 13, 3, 1]
181.67515952 187 1001353 [85L, 1L, 1.417, 60, 1.1, 1L, 22L, 1, 1, 13, 3, 1]
197.577687203 187 1001353 [119L, 1L, 1.488, 40, 1.7, 0L, 34L, 1, 1, 13, 3, 1]
199.127547273 187 1001353 [147L, 2L, 1.47, 20, 1.4, 1L, 28L, 1, 1, 13, 3, 1]
182.244670832 169 1004729 [65L, 1L, 1.625, 80, 2.15, 1L, 43L, 2, 9, 2, 4, 0]
176.965504357 169 1004729 [84L, 1L, 1.4, 60, 0.95, 0L, 19L, 2, 9, 2, 4, 0]
167.814607288 169 1004729 [102L, 2L, 1.275, 40, 0.9, 1L, 18L, 2, 9, 2, 4, 0]
173.531829331 169 1004729 [131L, 3L, 1.31, 20, 1.45, 1L, 29L, 2, 9, 2, 4, 0]
152.694486228 170 1007655 [48L, 2L, 1.2, 80, 1.1, 2L, 22L, 3, 3, 5, 5, 0]
